minute,user,comment
0,user001,こんにちは!
0,user002,楽しみにしてました
0,user003,今日は何の商品ですか?
1,user004,この商品気になります
1,user005,いくらですか?
1,user006,色は何色がありますか?
2,user007,すごい!欲しい
2,user008,これいいですね
2,user009,買います!
3,user010,どうやって使うんですか?
3,user011,サイズはどれくらいですか?
3,user012,在庫はありますか?
4,user013,ポチりました!
4,user014,私も買います
4,user015,すごくいい商品ですね
5,user016,配送はいつ頃ですか?
5,user017,ありがとうございました
5,user018,また見に来ます
6,user019,次回も楽しみです
6,user020,クーポンはありますか?
6,user021,他の色も見たいです
7,user022,これ前から欲しかったんです
7,user023,お得ですね
7,user024,限定品ですか?
8,user025,購入しました!
8,user026,友達にも教えます
8,user027,レビューを見てきました
9,user028,実物を見たいです
9,user029,店舗でも買えますか?
9,user030,保証はありますか?
10,user031,最後まで見れてよかったです
10,user032,また来ます!
10,user033,いい配信でした
